corpus	file	width	height	preset	quality	method	zen_bytes	lib_bytes	ratio
imagemagick	05f9a4950f55e2b5.png	47	63	Default	5	0	260	160	1.625000
imagemagick	062e61dfe5ad286a.png	17	17	Default	5	0	246	246	1.000000
imagemagick	0f6f860e54200b93.png	33	33	Default	5	0	538	544	0.988971
imagemagick	17e8576c6737621d.png	65	65	Default	5	0	130	140	0.928571
imagemagick	196c275bd70b20c4.png	16	16	Default	5	0	126	132	0.954545
imagemagick	21ca18a5e5bc7e6f.png	9	9	Default	5	0	62	62	1.000000
imagemagick	23ab90d19206c7c8.png	65	65	Default	5	0	386	172	2.244186
imagemagick	26c0760a6b3e3a57.png	128	128	Default	5	0	3744	3660	1.022951
imagemagick	27213a66dac130d0.png	17	17	Default	5	0	74	74	1.000000
imagemagick	2f8f3cf9c36be351.png	64	64	Default	5	0	102	84	1.214286
imagemagick	35b3a0d91b73d1ac.png	17	17	Default	5	0	234	242	0.966942
imagemagick	3b00867dddc094ef.png	17	17	Default	5	0	236	240	0.983333
imagemagick	3e0f92d9c81c539b.png	33	33	Default	5	0	198	128	1.546875
imagemagick	40020b9d382becbf.png	16	16	Default	5	0	46	48	0.958333
imagemagick	4446a3cf3071185f.png	47	63	Default	5	0	858	952	0.901261
imagemagick	51a4b465d02f9b25.png	17	17	Default	5	0	60	70	0.857143
imagemagick	52f964b4ec7c6ac3.png	16	16	Default	5	0	132	144	0.916667
imagemagick	551d6eddbdd51d87.png	16	16	Default	5	0	82	94	0.872340
imagemagick	56dd0cf783f21d78.png	17	17	Default	5	0	60	70	0.857143
imagemagick	57c71e40854e6032.png	96	96	Default	5	0	122	94	1.297872
imagemagick	5ac66cb33cccb0b1.png	128	128	Default	5	0	4026	4046	0.995057
imagemagick	5e0c70aa8fd63b8f.png	47	63	Default	5	0	260	160	1.625000
imagemagick	621b73a41f5ae344.png	17	17	Default	5	0	62	70	0.885714
imagemagick	680167d5746325a3.png	32	32	Default	5	0	148	120	1.233333
imagemagick	6b2bb39e16550274.png	31	17	Default	5	0	292	300	0.973333
imagemagick	6bc365fcb5eae6b1.png	16	16	Default	5	0	126	132	0.954545
imagemagick	6da500e23379b371.png	17	17	Default	5	0	232	244	0.950820
imagemagick	7742be090de4a70a.png	7	7	Default	5	0	64	72	0.888889
imagemagick	78c0428e5f09bee0.png	16	16	Default	5	0	46	48	0.958333
imagemagick	7e8bbc31c6b7d052.png	47	63	Default	5	0	260	160	1.625000
imagemagick	842661e4d91d8301.png	32	32	Default	5	0	350	360	0.972222
imagemagick	85cbd61a7f981081.png	7	7	Default	5	0	64	68	0.941176
imagemagick	86724e7321cb3c9c.png	9	9	Default	5	0	62	62	1.000000
imagemagick	876f6e3591477bc8.png	33	33	Default	5	0	80	76	1.052632
imagemagick	8ddc3a3122bf8489.png	16	16	Default	5	0	124	124	1.000000
imagemagick	9297b10c9cd583b2.png	23	29	Default	5	0	338	374	0.903743
imagemagick	9a096f9351f283f9.png	128	128	Default	5	0	3744	3660	1.022951
imagemagick	9b7004a78dcb1a04.png	23	29	Default	5	0	332	360	0.922222
imagemagick	9c314cb380f28cad.png	47	63	Default	5	0	78	88	0.886364
imagemagick	9cb0d0b5662a83bf.png	16	16	Default	5	0	46	48	0.958333
imagemagick	9d6eb018e6129d7d.png	128	128	Default	5	0	3744	3660	1.022951
imagemagick	9e60d0a4b1d2708b.png	47	63	Default	5	0	88	80	1.100000
imagemagick	a0a55e44ae4f8001.png	64	64	Default	5	0	272	150	1.813333
imagemagick	a510acf6bbbf523d.png	23	29	Default	5	0	64	74	0.864865
imagemagick	a93d277108c82d67.png	47	63	Default	5	0	858	952	0.901261
imagemagick	aff2ea4f40406c8e.png	16	16	Default	5	0	128	140	0.914286
imagemagick	b10555b0739859e9.png	33	33	Default	5	0	538	544	0.988971
imagemagick	b283bb1bc851e829.png	31	17	Default	5	0	296	294	1.006803
imagemagick	b7778bf4e941cfcc.png	33	33	Default	5	0	506	516	0.980620
imagemagick	b7c2d942ded444f4.png	23	29	Default	5	0	332	360	0.922222
imagemagick	bb4c75514e865208.png	23	29	Default	5	0	76	92	0.826087
imagemagick	beca6a231ca9b5d2.png	128	128	Default	5	0	4186	4290	0.975758
imagemagick	c29b85f8953aa33e.png	47	63	Default	5	0	222	130	1.707692
imagemagick	c7b2056afae142b7.png	65	65	Default	5	0	1392	1406	0.990043
imagemagick	c8173bd456ae9ed8.png	17	17	Default	5	0	108	96	1.125000
imagemagick	cbd476975c94850a.png	23	29	Default	5	0	338	350	0.965714
imagemagick	ccaed49ace2db42c.png	9	9	Default	5	0	64	72	0.888889
imagemagick	ccd013ff493ee13c.png	17	17	Default	5	0	60	70	0.857143
imagemagick	cfa61be4a2c5af4e.png	65	65	Default	5	0	1384	1376	1.005814
imagemagick	d3764e0b31a00631.png	31	17	Default	5	0	292	300	0.973333
imagemagick	d88de4b9e6efe211.png	128	128	Default	5	0	700	234	2.991453
imagemagick	d8c6a79bbf189a24.png	128	128	Default	5	0	560	206	2.718447
imagemagick	da8c2fd0f71d2fd0.png	64	64	Default	5	0	1030	1018	1.011788
imagemagick	dc09a46c8adc4041.png	17	17	Default	5	0	258	256	1.007812
imagemagick	dd665c15c0af32f5.png	16	16	Default	5	0	128	128	1.000000
imagemagick	dfb0a950416c0cf8.png	128	128	Default	5	0	4186	4290	0.975758
imagemagick	e5366019dcea77c8.png	23	29	Default	5	0	326	378	0.862434
imagemagick	e601a54fea77a6db.png	17	17	Default	5	0	108	96	1.125000
imagemagick	e891093dfa0dcab1.png	33	33	Default	5	0	80	76	1.052632
imagemagick	ebc20af6b4e8df81.png	128	128	Default	5	0	700	234	2.991453
imagemagick	f5edbb62cb8617fa.png	31	17	Default	5	0	286	302	0.947020
imagemagick	f9ac4e0f6dc3e947.png	33	33	Default	5	0	564	558	1.010753
imagemagick	ff0c9d9ec93fd066.png	23	29	Default	5	0	326	336	0.970238
imagemagick	ff4e60b90ecb17f2.png	16	16	Default	5	0	124	124	1.000000
imagemagick	05f9a4950f55e2b5.png	47	63	Default	5	4	100	122	0.819672
imagemagick	062e61dfe5ad286a.png	17	17	Default	5	4	206	190	1.084211
imagemagick	0f6f860e54200b93.png	33	33	Default	5	4	434	406	1.068966
imagemagick	17e8576c6737621d.png	65	65	Default	5	4	124	134	0.925373
imagemagick	196c275bd70b20c4.png	16	16	Default	5	4	130	126	1.031746
imagemagick	21ca18a5e5bc7e6f.png	9	9	Default	5	4	52	52	1.000000
imagemagick	23ab90d19206c7c8.png	65	65	Default	5	4	112	126	0.888889
imagemagick	26c0760a6b3e3a57.png	128	128	Default	5	4	3986	3734	1.067488
imagemagick	27213a66dac130d0.png	17	17	Default	5	4	56	68	0.823529
imagemagick	2f8f3cf9c36be351.png	64	64	Default	5	4	74	84	0.880952
imagemagick	35b3a0d91b73d1ac.png	17	17	Default	5	4	168	164	1.024390
imagemagick	3b00867dddc094ef.png	17	17	Default	5	4	196	192	1.020833
imagemagick	3e0f92d9c81c539b.png	33	33	Default	5	4	84	100	0.840000
imagemagick	40020b9d382becbf.png	16	16	Default	5	4	46	46	1.000000
imagemagick	4446a3cf3071185f.png	47	63	Default	5	4	918	864	1.062500
imagemagick	51a4b465d02f9b25.png	17	17	Default	5	4	60	70	0.857143
imagemagick	52f964b4ec7c6ac3.png	16	16	Default	5	4	128	128	1.000000
imagemagick	551d6eddbdd51d87.png	16	16	Default	5	4	58	58	1.000000
imagemagick	56dd0cf783f21d78.png	17	17	Default	5	4	60	70	0.857143
imagemagick	57c71e40854e6032.png	96	96	Default	5	4	84	102	0.823529
imagemagick	5ac66cb33cccb0b1.png	128	128	Default	5	4	4284	4158	1.030303
imagemagick	5e0c70aa8fd63b8f.png	47	63	Default	5	4	100	122	0.819672
imagemagick	621b73a41f5ae344.png	17	17	Default	5	4	62	70	0.885714
imagemagick	680167d5746325a3.png	32	32	Default	5	4	78	92	0.847826
imagemagick	6b2bb39e16550274.png	31	17	Default	5	4	244	234	1.042735
imagemagick	6bc365fcb5eae6b1.png	16	16	Default	5	4	130	126	1.031746
imagemagick	6da500e23379b371.png	17	17	Default	5	4	166	170	0.976471
imagemagick	7742be090de4a70a.png	7	7	Default	5	4	54	54	1.000000
imagemagick	78c0428e5f09bee0.png	16	16	Default	5	4	46	46	1.000000
imagemagick	7e8bbc31c6b7d052.png	47	63	Default	5	4	100	122	0.819672
imagemagick	842661e4d91d8301.png	32	32	Default	5	4	354	350	1.011429
imagemagick	85cbd61a7f981081.png	7	7	Default	5	4	52	52	1.000000
imagemagick	86724e7321cb3c9c.png	9	9	Default	5	4	52	52	1.000000
imagemagick	876f6e3591477bc8.png	33	33	Default	5	4	70	76	0.921053
imagemagick	8ddc3a3122bf8489.png	16	16	Default	5	4	128	120	1.066667
imagemagick	9297b10c9cd583b2.png	23	29	Default	5	4	324	334	0.970060
imagemagick	9a096f9351f283f9.png	128	128	Default	5	4	3986	3734	1.067488
imagemagick	9b7004a78dcb1a04.png	23	29	Default	5	4	322	332	0.969880
imagemagick	9c314cb380f28cad.png	47	63	Default	5	4	78	86	0.906977
imagemagick	9cb0d0b5662a83bf.png	16	16	Default	5	4	46	46	1.000000
imagemagick	9d6eb018e6129d7d.png	128	128	Default	5	4	3986	3734	1.067488
imagemagick	9e60d0a4b1d2708b.png	47	63	Default	5	4	70	82	0.853659
imagemagick	a0a55e44ae4f8001.png	64	64	Default	5	4	100	126	0.793651
imagemagick	a510acf6bbbf523d.png	23	29	Default	5	4	62	72	0.861111
imagemagick	a93d277108c82d67.png	47	63	Default	5	4	918	864	1.062500
imagemagick	aff2ea4f40406c8e.png	16	16	Default	5	4	124	122	1.016393
imagemagick	b10555b0739859e9.png	33	33	Default	5	4	434	406	1.068966
imagemagick	b283bb1bc851e829.png	31	17	Default	5	4	258	248	1.040323
imagemagick	b7778bf4e941cfcc.png	33	33	Default	5	4	448	412	1.087379
imagemagick	b7c2d942ded444f4.png	23	29	Default	5	4	322	332	0.969880
imagemagick	bb4c75514e865208.png	23	29	Default	5	4	76	84	0.904762
imagemagick	beca6a231ca9b5d2.png	128	128	Default	5	4	4478	4306	1.039944
imagemagick	c29b85f8953aa33e.png	47	63	Default	5	4	88	110	0.800000
imagemagick	c7b2056afae142b7.png	65	65	Default	5	4	1228	1136	1.080986
imagemagick	c8173bd456ae9ed8.png	17	17	Default	5	4	62	74	0.837838
imagemagick	cbd476975c94850a.png	23	29	Default	5	4	334	346	0.965318
imagemagick	ccaed49ace2db42c.png	9	9	Default	5	4	64	64	1.000000
imagemagick	ccd013ff493ee13c.png	17	17	Default	5	4	60	70	0.857143
imagemagick	cfa61be4a2c5af4e.png	65	65	Default	5	4	1270	1136	1.117958
imagemagick	d3764e0b31a00631.png	31	17	Default	5	4	244	234	1.042735
imagemagick	d88de4b9e6efe211.png	128	128	Default	5	4	154	182	0.846154
imagemagick	d8c6a79bbf189a24.png	128	128	Default	5	4	148	178	0.831461
imagemagick	da8c2fd0f71d2fd0.png	64	64	Default	5	4	1084	1006	1.077535
imagemagick	dc09a46c8adc4041.png	17	17	Default	5	4	210	198	1.060606
imagemagick	dd665c15c0af32f5.png	16	16	Default	5	4	130	120	1.083333
imagemagick	dfb0a950416c0cf8.png	128	128	Default	5	4	4478	4306	1.039944
imagemagick	e5366019dcea77c8.png	23	29	Default	5	4	324	340	0.952941
imagemagick	e601a54fea77a6db.png	17	17	Default	5	4	62	74	0.837838
imagemagick	e891093dfa0dcab1.png	33	33	Default	5	4	70	76	0.921053
imagemagick	ebc20af6b4e8df81.png	128	128	Default	5	4	154	182	0.846154
imagemagick	f5edbb62cb8617fa.png	31	17	Default	5	4	234	226	1.035398
imagemagick	f9ac4e0f6dc3e947.png	33	33	Default	5	4	492	460	1.069565
imagemagick	ff0c9d9ec93fd066.png	23	29	Default	5	4	302	310	0.974194
imagemagick	ff4e60b90ecb17f2.png	16	16	Default	5	4	128	120	1.066667
imagemagick	05f9a4950f55e2b5.png	47	63	Default	25	0	324	186	1.741935
imagemagick	062e61dfe5ad286a.png	17	17	Default	25	0	372	364	1.021978
imagemagick	0f6f860e54200b93.png	33	33	Default	25	0	786	794	0.989924
imagemagick	17e8576c6737621d.png	65	65	Default	25	0	136	144	0.944444
imagemagick	196c275bd70b20c4.png	16	16	Default	25	0	192	216	0.888889
imagemagick	21ca18a5e5bc7e6f.png	9	9	Default	25	0	70	70	1.000000
imagemagick	23ab90d19206c7c8.png	65	65	Default	25	0	500	200	2.500000
imagemagick	26c0760a6b3e3a57.png	128	128	Default	25	0	6326	6162	1.026615
imagemagick	27213a66dac130d0.png	17	17	Default	25	0	82	80	1.025000
imagemagick	2f8f3cf9c36be351.png	64	64	Default	25	0	108	92	1.173913
imagemagick	35b3a0d91b73d1ac.png	17	17	Default	25	0	318	328	0.969512
imagemagick	3b00867dddc094ef.png	17	17	Default	25	0	366	348	1.051724
imagemagick	3e0f92d9c81c539b.png	33	33	Default	25	0	246	150	1.640000
imagemagick	40020b9d382becbf.png	16	16	Default	25	0	46	48	0.958333
imagemagick	4446a3cf3071185f.png	47	63	Default	25	0	1450	1540	0.941558
imagemagick	51a4b465d02f9b25.png	17	17	Default	25	0	62	70	0.885714
imagemagick	52f964b4ec7c6ac3.png	16	16	Default	25	0	190	218	0.871560
imagemagick	551d6eddbdd51d87.png	16	16	Default	25	0	96	130	0.738462
imagemagick	56dd0cf783f21d78.png	17	17	Default	25	0	62	70	0.885714
imagemagick	57c71e40854e6032.png	96	96	Default	25	0	134	102	1.313725
imagemagick	5ac66cb33cccb0b1.png	128	128	Default	25	0	5868	5902	0.994239
imagemagick	5e0c70aa8fd63b8f.png	47	63	Default	25	0	324	186	1.741935
imagemagick	621b73a41f5ae344.png	17	17	Default	25	0	62	70	0.885714
imagemagick	680167d5746325a3.png	32	32	Default	25	0	184	144	1.277778
imagemagick	6b2bb39e16550274.png	31	17	Default	25	0	422	430	0.981395
imagemagick	6bc365fcb5eae6b1.png	16	16	Default	25	0	192	216	0.888889
imagemagick	6da500e23379b371.png	17	17	Default	25	0	318	326	0.975460
imagemagick	7742be090de4a70a.png	7	7	Default	25	0	72	84	0.857143
imagemagick	78c0428e5f09bee0.png	16	16	Default	25	0	46	48	0.958333
imagemagick	7e8bbc31c6b7d052.png	47	63	Default	25	0	324	186	1.741935
imagemagick	842661e4d91d8301.png	32	32	Default	25	0	536	544	0.985294
